ticker,overlap_months,mean_absolute_difference,maximum_absolute_difference,correlation,non_december_months,non_december_mean_absolute_difference,non_december_maximum_absolute_difference
DBE,23,0.004300573350033075,0.06367581417341084,0.948305444847398,21,3.302383264380022e-07,5.380576108340862e-07
GLD,23,3.1214016672309224e-07,5.355035747195425e-07,0.9999999999546829,21,2.9650362725564356e-07,5.355035747195425e-07
DBA,23,0.0032811197468168387,0.040818765321375294,0.9625158559029473,21,2.3269810025372414e-07,4.85843714618725e-07
DBB,23,0.003159024365193525,0.04435463853028795,0.9742939638436571,21,3.3290585425932033e-07,5.399325085780893e-07
GSG,23,2.468953862873611e-07,5.049419853856568e-07,0.9999999999472625,21,2.309118375202522e-07,4.922937442697339e-07
DBC,23,0.0036409698922275236,0.051507009936766074,0.906042561830409,21,2.2397533929994686e-07,5.089936802576273e-07
