candidate,benchmark,block_length,replications,annualized_mean_difference,ci_2_5,ci_97_5,two_sided_centered_p_value,holm_adjusted_p_value
supervised_selector,equal_weight,3,5000,0.024100946352302983,-0.07790003105777465,0.12565179940458054,0.635872825434913,
supervised_selector,inverse_vol_12m,3,5000,0.02915438210687491,-0.07147526066768417,0.13687304650470508,0.5762847430513898,
supervised_selector,momentum_6m_top2_invvol,3,5000,-0.014652353902896684,-0.11523392541298269,0.08974386998229458,0.7762447510497901,
supervised_selector,momentum_12m_top2_invvol,3,5000,0.018987076025438407,-0.061171249974263306,0.1064233763211056,0.6570685862827434,
supervised_selector,absolute_momentum_12m_cash,3,5000,-0.06077490775413812,-0.1462493671059942,0.02000385573998115,0.15536892621475704,
supervised_selector,GSG_buy_and_hold,3,5000,0.02669162017449691,-0.12586246869137316,0.17671288652588757,0.7236552689462108,
supervised_selector,DBC_buy_and_hold,3,5000,0.03329755878182629,-0.08955251065162931,0.14971247946821928,0.5786842631473705,
supervised_selector,ppo_10_seed_ensemble,3,5000,0.057762978833227015,-0.11138187146325791,0.22501113905464692,0.49610077984403117,
supervised_selector,equal_weight,6,5000,0.024100946352302983,-0.08154142211914045,0.1411395243881854,0.6492701459708058,1.0
supervised_selector,inverse_vol_12m,6,5000,0.02915438210687491,-0.077822606275185,0.15390677243407627,0.6200759848030394,1.0
supervised_selector,momentum_6m_top2_invvol,6,5000,-0.014652353902896684,-0.13049820661315364,0.11289482077120767,0.8138372325534893,1.0
supervised_selector,momentum_12m_top2_invvol,6,5000,0.018987076025438407,-0.06774425553060442,0.11930274545076695,0.6964607078584283,1.0
supervised_selector,absolute_momentum_12m_cash,6,5000,-0.06077490775413812,-0.14106626966680288,0.017412443830988902,0.1277744451109778,1.0
supervised_selector,GSG_buy_and_hold,6,5000,0.02669162017449691,-0.12485233977558036,0.1722286071861186,0.7204559088182364,1.0
supervised_selector,DBC_buy_and_hold,6,5000,0.03329755878182629,-0.09578667011546439,0.14715179476972862,0.5886822635472906,1.0
supervised_selector,ppo_10_seed_ensemble,6,5000,0.057762978833227015,-0.09844103393377993,0.22866435441297314,0.4871025794841032,1.0
supervised_selector,equal_weight,12,5000,0.024100946352302983,-0.0845042290245598,0.1524897700044896,0.6912617476504699,
supervised_selector,inverse_vol_12m,12,5000,0.02915438210687491,-0.079650002536388,0.16662674440158104,0.6452709458108379,
supervised_selector,momentum_6m_top2_invvol,12,5000,-0.014652353902896684,-0.1488803051724863,0.12122190318693801,0.8384323135372925,
supervised_selector,momentum_12m_top2_invvol,12,5000,0.018987076025438407,-0.08013593577577532,0.13919185615465932,0.7388522295540891,
supervised_selector,absolute_momentum_12m_cash,12,5000,-0.06077490775413812,-0.1330326255617133,0.014337871694795942,0.10717856428714258,
supervised_selector,GSG_buy_and_hold,12,5000,0.02669162017449691,-0.1174049296695182,0.1584976465075618,0.7068586282743451,
supervised_selector,DBC_buy_and_hold,12,5000,0.03329755878182629,-0.0961090336031055,0.14608597678640325,0.5846830633873226,
supervised_selector,ppo_10_seed_ensemble,12,5000,0.057762978833227015,-0.09846558345460041,0.23335503720290646,0.4989002199560088,
