target_month,equal_weight,inverse_vol_12m,momentum_6m_top2_invvol,momentum_12m_top2_invvol,absolute_momentum_12m_cash,supervised_selector,ppo_10_seed_ensemble,sample_segment
2019-01-31,0.04874620222220045,0.036009752638326044,0.01379075912307288,0.013352838482644448,0.00192,0.035514538880385554,0.016629253745456027,ORIGINAL_OOS
2019-02-28,0.012824600540075582,-0.0005407577739793664,0.003341444355295953,0.010424530213164307,0.001809,0.01270554182102082,0.012162935659987394,ORIGINAL_OOS
2019-03-31,0.0025456547564833083,-0.00019939526081910104,-0.0020986658111175967,-0.011563801132684388,0.002415,0.0025456547564833083,0.007209075519721811,ORIGINAL_OOS
2019-04-30,-0.003870553949487338,-0.012179919615847747,-0.015118903758569498,0.00541941877063932,0.0011250000000000001,-0.003870553949487338,0.0022630037072155643,ORIGINAL_OOS
2019-05-31,-0.036694970177651755,-0.009936821230797387,-0.018489361733648877,-0.015491135556992015,0.001983,-0.036694970177651755,-0.02431115249015037,ORIGINAL_OOS
2019-06-30,0.03584360019018916,0.03578904493314504,0.07354563497557519,0.03935172528731248,0.079029,0.03567089824959803,0.011284964458401561,ORIGINAL_OOS
2019-07-31,-0.012005977989950536,-0.018247932878553152,0.0009397910873741888,-0.02279934192606433,7.5e-05,-0.0005526565557773442,-0.006411027595624572,ORIGINAL_OOS
2019-08-31,-0.02667898032785641,-0.01912942353124716,0.040469045996737146,0.022173624994040568,0.079123,-0.019821591417373153,-0.029270913898139173,ORIGINAL_OOS
2019-09-30,0.014814326477816317,0.01770251949807852,0.017038662546387296,-0.010177221652366345,-0.033948,-0.03462688490870388,0.015248618165476279,ORIGINAL_OOS
2019-10-31,0.020622481004915545,0.020138694917353896,0.01483857866827138,0.014373955087455858,0.025636,0.014373955087455858,0.024848506280738456,ORIGINAL_OOS
2019-11-30,-0.006568462665136247,-0.008973345059851008,-0.007940346777915367,-0.028919858100867314,-0.032086,-0.009338549229319483,-0.0016914287973633555,ORIGINAL_OOS
2019-12-31,0.04358138140856582,0.0403376815854758,0.05055092470486694,0.05062530503005906,0.036559,0.050507192199502206,0.046052932995362825,ORIGINAL_OOS
2020-01-31,-0.051412597016459255,-0.04192404312105869,-0.024383531483194325,-0.024383531483194325,-0.14044,-0.042464436962530196,-0.04754705596409745,ORIGINAL_OOS
2020-02-29,-0.040890656522277684,-0.032909004657129724,-0.016560912075655815,-0.016560912075655815,-0.007362,-0.01646216712315075,-0.06280979001367011,ORIGINAL_OOS
2020-03-31,-0.11474080529097971,-0.09272004578657077,-0.04026214974498026,-0.04026214974498026,-0.002224,-0.11522475,-0.20095802480530936,ORIGINAL_OOS
2020-04-30,-0.0017168232831399068,0.011321922693250023,0.02601281105546758,0.02601281105546758,0.072611,-0.0017168232831399068,-0.017051944143819695,ORIGINAL_OOS
2020-05-31,0.053440094716089695,0.037326121092575874,0.012306249024283964,0.012306249024283964,0.025882,0.025150601246932063,0.1062322993442267,ORIGINAL_OOS
2020-06-30,0.0308759488134002,0.025046045945702578,0.03642985349081933,0.03642985349081933,0.027377,0.027377,0.049383658425239896,ORIGINAL_OOS
2020-07-31,0.06818690118668326,0.07513216057926231,0.09412542649902086,0.09412542649902086,0.107905,0.0937252203697884,0.05845025294185343,ORIGINAL_OOS
2020-08-31,0.03859611212996092,0.03440980550373878,0.027708463652417522,0.027708463652417522,-0.003236,-0.0036755760030592398,0.05196353026175689,ORIGINAL_OOS
2020-09-30,-0.03235657201950689,-0.027540233306509773,-0.03630452609044572,-0.03630452609044572,-0.041714,-0.041714,-0.0448507467406,ORIGINAL_OOS
2020-10-31,-0.01725634571453005,-0.007621781668805119,0.010378356966235824,0.010378356966235824,-0.005194,-0.005194,-0.023887938546286073,ORIGINAL_OOS
2020-11-30,0.07346737673043907,0.05287468895967021,0.12676901343833052,0.018849802286028054,-0.054086,-0.054086,0.12137389172838076,ORIGINAL_OOS
2020-12-31,0.04029684349712874,0.040294554317805806,0.016668947495806528,0.03927055800432701,0.070139,0.015677439014467224,0.05011389237504228,ORIGINAL_OOS
2021-01-31,0.004474936259254898,-0.003999916338295919,-0.002195770422111164,-0.028990894789251525,-0.032238,-0.002195770422111164,0.0033354760608725136,ORIGINAL_OOS
2021-02-28,0.06286804331645404,0.046109303471576546,0.0776806423014112,0.01837871703610317,0.110111,0.017809478768913423,-0.02791156880237378,ORIGINAL_OOS
2021-03-31,-0.011303739518498954,-0.01265822996119135,-0.006223843495950048,-0.005976506054194341,-0.003743,-0.004234386655537055,-0.010258552469424134,ORIGINAL_OOS
2021-04-30,0.06804079811108217,0.07123637283798129,0.07752520667302579,0.07752520667302579,0.065616,0.065616,0.030830723311689023,ORIGINAL_OOS
2021-05-31,0.046039829791712554,0.041972952251628684,0.048284951271221184,0.048284951271221184,0.049533,0.04769954421234327,0.05579573893803218,ORIGINAL_OOS
2021-06-30,-0.0117457873134257,-0.014980364721906213,0.0006510499417295839,0.0006510499417295839,0.066348,0.06573422563028823,-0.05346869578616617,ORIGINAL_OOS
2021-07-31,0.01967798328778202,0.01655353004345483,0.026282534773679127,0.026282534773679127,0.025728,0.025728,0.0190551945753154,ORIGINAL_OOS
2021-08-31,-0.00028381684004261045,0.004854768994492879,-0.010555767850828342,-0.010555767850828342,-0.02946,-0.02946,-0.00035990505257773485,ORIGINAL_OOS
2021-09-30,0.013114831053259123,0.005244878583576852,0.03393743133315146,0.03393743133315146,0.091488,0.091488,-0.022925737037572794,ORIGINAL_OOS
2021-10-31,0.03378541231641838,0.027868932986790742,0.030149865075622905,0.052406238738576694,0.076748,0.076748,0.011861610014732111,ORIGINAL_OOS
2021-11-30,-0.04308187132380413,-0.03447764536123597,-0.0819437172967562,-0.08132461269306626,-0.144737,-0.144737,-0.0055340125976578135,ORIGINAL_OOS
