training_window_months,block_length,replications,annualized_mean_difference,ci_2_5,ci_97_5,two_sided_centered_p_value
60,3,5000,0.05076052947803292,-0.038662830610155144,0.14433776005487206,0.2761447710457908
60,6,5000,0.05076052947803292,-0.046720580663161745,0.15255685933682148,0.3233353329334133
60,12,5000,0.05076052947803292,-0.05936411602448841,0.16197500907119103,0.3703259348130374
96,3,5000,0.02603624675934331,-0.05766765570518127,0.11460876035799102,0.5378924215156968
96,6,5000,0.02603624675934331,-0.06486586431982912,0.12216344698372733,0.5818836232753449
96,12,5000,0.02603624675934331,-0.06694130470412257,0.11906136146584553,0.5818836232753449
120,3,5000,0.012852151588463728,-0.06566994631068043,0.09756071293752294,0.7546490701859628
120,6,5000,0.012852151588463728,-0.07329967137996454,0.10518807734505542,0.7706458708258348
120,12,5000,0.012852151588463728,-0.07944906892641951,0.11349364278467722,0.8002399520095981
