training_window_months,first_target,last_target,months,total_return,cagr,arithmetic_annual_return,annual_volatility,excess_sharpe,maximum_drawdown,monthly_hit_rate_over_cash,average_monthly_turnover,annualized_turnover
60,2019-01-31,2026-05-31,89,3.762247921950495,0.23421375484464035,0.2315218205768841,0.19770869602229132,1.0329873851732236,-0.22366887729913387,0.651685393258427,0.2943314416058272,3.5319772992699265
96,2019-01-31,2026-05-31,89,3.0369156102361643,0.20702026695622866,0.2067975378581945,0.18647516872106312,0.9620380621488896,-0.18875597476229378,0.6179775280898876,0.3206550977267229,3.847861172720675
120,2019-01-31,2026-05-31,89,2.634292547608967,0.19004184196260043,0.1936134426873149,0.19308385576890066,0.8611605311193116,-0.1996046026257724,0.5955056179775281,0.35433848076954627,4.2520617692345555
