target_month,gross_return,turnover,cost_10bps,net_return
2019-01-31,0.016800786944061275,0.0,0.0,0.016629253745456027
2019-02-28,0.012391025794755605,0.22809013476821088,0.00022809013476821088,0.012162935659987394
2019-03-31,0.007313699975771618,0.10462445604980668,0.00010462445604980668,0.007209075519721811
2019-04-30,0.0023941178092936337,0.13111410207806878,0.00013111410207806878,0.0022630037072155643
2019-05-31,-0.023940297325203762,0.37085516494660575,0.00037085516494660576,-0.02431115249015037
2019-06-30,0.011438161598787211,0.1531971403856508,0.0001531971403856508,0.011284964458401561
2019-07-31,-0.005960081882014172,0.4509457136104007,0.0004509457136104007,-0.006411027595624572
2019-08-31,-0.028952493789775813,0.3184201083633563,0.00031842010836335635,-0.029270913898139173
2019-09-30,0.015614300188609296,0.36568202313301634,0.0003656820231330164,0.015248618165476279
2019-10-31,0.02491367384058654,0.06516755984808095,6.516755984808095e-05,0.024848506280738456
2019-11-30,-0.0016628354783414327,0.028593319021923504,2.8593319021923505e-05,-0.0016914287973633555
2019-12-31,0.04618016309838436,0.1272301030215313,0.0001272301030215313,0.046052932995362825
2020-01-31,-0.047157373370600435,0.38968259349701784,0.00038968259349701783,-0.04754705596409745
2020-02-29,-0.06237112228798437,0.4386677256857392,0.0004386677256857392,-0.06280979001367011
2020-03-31,-0.20084561224173647,0.11241256357288858,0.00011241256357288857,-0.20095802480530936
2020-04-30,-0.016915812701217624,0.13613144260206825,0.00013613144260206825,-0.017051944143819695
2020-05-31,0.10641705434083128,0.18475499660456368,0.00018475499660456369,0.1062322993442267
2020-06-30,0.04952816598856601,0.14450756332612705,0.00014450756332612706,0.049383658425239896
2020-07-31,0.058569687077052034,0.11943413519860777,0.00011943413519860777,0.05845025294185343
2020-08-31,0.052144308667956385,0.18077840619949914,0.00018077840619949915,0.05196353026175689
2020-09-30,-0.04471885676341826,0.13188997718173806,0.00013188997718173806,-0.0448507467406
2020-10-31,-0.023737747481683166,0.1501910646029052,0.0001501910646029052,-0.023887938546286073
2020-11-30,0.12143553445557573,0.06164272719497679,6.164272719497679e-05,0.12137389172838076
2020-12-31,0.050522735299952284,0.40884292491000196,0.00040884292491000197,0.05011389237504228
2021-01-31,0.0035547390585011288,0.21926299762861504,0.00021926299762861504,0.0033354760608725136
2021-02-28,-0.027349668951601232,0.5618998507725393,0.0005618998507725394,-0.02791156880237378
2021-03-31,-0.01010307723827966,0.15547523114447429,0.0001554752311444743,-0.010258552469424134
2021-04-30,0.03095087471084574,0.12015139915671591,0.00012015139915671591,0.030830723311689023
